,Open,High,Low,Close,Volume
2024-01-01 09:30:00,100.12185358572793,100.19012460154755,100.1287310810506,100.17640523459677,3149
2024-01-01 09:31:00,100.21007816178536,100.26220247537837,100.11434083325369,100.21642095543349,2790
2024-01-01 09:32:00,100.50437776459242,100.38589154121631,100.25596490154079,100.31429475384407,4947
2024-01-01 09:33:00,100.6541426054645,100.62541247106748,100.49395608941197,100.5383840737642,1829
2024-01-01 09:34:00,100.73213120266759,100.84332521788592,100.54919539111927,100.72513987277921,4181
2024-01-01 09:35:00,100.7143549451921,100.7718903885312,100.59625956947687,100.62741208479156,1094
2024-01-01 09:36:00,100.7201517583368,100.7859473011989,100.66630293108715,100.72242092654412,2503
2024-01-01 09:37:00,100.70462828874228,100.77307595769815,100.63005752974439,100.70728520571436,4129
2024-01-01 09:38:00,100.59948473115351,100.70090164907973,100.64223565847499,100.69696332053499,4521
2024-01-01 09:39:00,100.69001789243163,100.74619814274764,100.69588104221329,100.73802317072884,4218
2024-01-01 09:40:00,100.7132525646456,100.80399186670664,100.59819830843401,100.75242752784493,1766
2024-01-01 09:41:00,100.9032308301245,101.04590387807622,100.83205164679651,100.89785487854122,4255
2024-01-01 09:42:00,100.97465787779889,101.0996214171307,100.95145605951606,100.97395865105592,4011
2024-01-01 09:43:00,100.95717903513561,101.14008395684077,100.87794712021386,100.9861261527052,3949
2024-01-01 09:44:00,101.00107181600306,101.18429636322271,101.00541477653246,101.03051247597975,3769
2024-01-01 09:45:00,101.05557225193677,101.23519340225103,100.99237598722898,101.06387990871717,1166
2024-01-01 09:46:00,101.14421723349882,101.35735166923031,101.03692246357848,101.21328781603293,1155
2024-01-01 09:47:00,101.16214006163793,101.38857417345652,101.1189397506351,101.19277198965635,2770
2024-01-01 09:48:00,101.20501426633102,101.4038438036818,101.09757696496379,101.22407875982144,4335
2024-01-01 09:49:00,101.07622173923762,101.25601261913592,101.03574407868955,101.13866918589127,4319
2024-01-01 09:50:00,100.86685830964464,101.0010017384061,100.85582523515227,100.88337020430787,2515
2024-01-01 09:51:00,100.90699170567517,100.95558547192233,100.81891814429372,100.94873206385189,2771
2024-01-01 09:52:00,101.09694480333832,101.23488099927953,100.8639686843511,101.03517568373785,2142
2024-01-01 09:53:00,100.94876899184025,100.98727438117044,100.94231668688813,100.9609591816972,2723
2024-01-01 09:54:00,101.17845736068313,101.33600408342228,101.03719862627,101.18793464409596,1872
2024-01-01 09:55:00,101.06389948198716,101.20670111566095,100.9044558203323,101.0424980766361,1991
2024-01-01 09:56:00,101.07492234420826,101.12168483422727,100.8737418133668,101.04707392836623,3809
2024-01-01 09:57:00,100.94154345314864,101.0677259542967,101.00753715693695,101.02835554336365,3294
2024-01-01 09:58:00,101.16279425934411,101.2013854421576,101.12049438892015,101.18163346479949,4296
2024-01-01 09:59:00,101.28311772547691,101.47829054295543,101.18971104434424,101.32856934178952,1865
2024-01-01 10:00:00,101.33680557214956,101.43459479020035,101.33966048858188,101.34406408435922,4817
2024-01-01 10:01:00,101.35506371025949,101.52462388811965,101.23506520077333,101.38188033631943,1730
2024-01-01 10:02:00,101.3009552346993,101.47618329132678,101.12150604575619,101.29310176155641,4760
2024-01-01 10:03:00,101.04599915245593,101.12433886196425,101.00436130425868,101.09502211473404,2694
2024-01-01 10:04:00,101.0318425377254,101.24406509994617,100.97336491911608,101.06023089980141,1088
2024-01-01 10:05:00,101.0463078132657,101.15819108861349,101.02017200429793,101.07586579671181,1359
2024-01-01 10:06:00,101.25302443330813,101.25994826676404,101.19788449078357,101.19889486478458,2580
2024-01-01 10:07:00,101.33753303262705,101.50774530178357,101.28187214632975,101.31913284966302,1698
2024-01-01 10:08:00,101.2988446033015,101.4785305064435,101.08442734423775,101.28040016792222,1437
2024-01-01 10:09:00,101.2358539788242,101.28994833641818,101.07671267744041,101.25016989286469,3897
2024-01-01 10:10:00,101.12607870375331,101.27668226574839,101.0920136686082,101.14531459635799,4793
2024-01-01 10:11:00,101.03136294706498,101.0246118653943,100.81056303121589,101.0033128026401,1556
2024-01-01 10:12:00,100.87155748026727,100.9628685843491,100.75914326038694,100.83268578357759,3209
2024-01-01 10:13:00,101.0285206623822,101.19322596865594,100.96824624815054,101.02776332310077,3872
2024-01-01 10:14:00,101.03388050219941,101.11369781423042,100.94623657783563,100.9767981049256,3693
2024-01-01 10:15:00,100.99669842614024,101.016457303177,100.75266846086235,100.93299067476448,3478
2024-01-01 10:16:00,100.72447623679004,100.88432441067224,100.61031264054611,100.80771113875949,3310
2024-01-01 10:17:00,100.90697911858183,100.96408465738736,100.81997789353214,100.88546017434268,1231
2024-01-01 10:18:00,100.72194029316233,100.84201275318547,100.5833843049152,100.72407038958688,3012
2024-01-01 10:19:00,100.7222108022639,100.87910981558,100.63573567960358,100.70279636156549,3196
2024-01-01 10:20:00,100.66904853184747,100.79906293689987,100.59225155758503,100.61324970544612,2921
2024-01-01 10:21:00,100.60591304707748,100.66264587927351,100.57340149385558,100.65193995523205,1721
2024-01-01 10:22:00,100.51984573635404,100.6371839204043,100.49054544932294,100.60085944147517,3631
2024-01-01 10:23:00,100.53810579670547,100.50524108622858,100.45819287122762,100.48279622306292,1548
2024-01-01 10:24:00,100.43005376798253,100.51864492838244,100.3163234452711,100.47997800022905,4989
2024-01-01 10:25:00,100.48850021158604,100.59213274940393,100.42333856390344,100.5228111872821,1360
2024-01-01 10:26:00,100.5396939541914,100.63076924604495,100.4825863190195,100.52946290952042,4625
2024-01-01 10:27:00,100.52540500823632,100.68560234469622,100.4411581835858,100.55971009929439,3217
2024-01-01 10:28:00,100.41666735851051,100.64270633375423,100.3376260287154,100.49627788992629,4988
2024-01-01 10:29:00,100.46171326169838,100.63802608160475,100.3944789035172,100.46000377332759,2854
2024-01-01 10:30:00,100.35368349560189,100.59057541599594,100.25246246366986,100.39275772854998,3762
2024-01-01 10:31:00,100.38669540628945,100.48937370810737,100.2712305763998,100.35680241239594,2543
2024-01-01 10:32:00,100.25018395638754,100.44456068792503,100.08267755042236,100.27548778419148,3877
2024-01-01 10:33:00,100.06843721702228,100.25846729334326,99.94867150663777,100.10285952395832,1072
2024-01-01 10:34:00,100.11010211122819,100.18210854602744,100.0493319576793,100.1206021381837,3929
2024-01-01 10:35:00,100.1330317184048,100.25556249860985,100.0768744527505,100.08042404456286,4029
2024-01-01 10:36:00,99.96279941394815,99.92595683745583,99.78590023079018,99.91740420986626,4510
2024-01-01 10:37:00,99.90902112629585,99.96375590416913,99.92410800370187,99.96368243541885,2463
2024-01-01 10:38:00,100.01293798143486,99.92769912485821,99.84857676385069,99.87295259898052,4734
2024-01-01 10:39:00,99.86185832233087,99.97056664448561,99.69179184828076,99.87814713856012,4343
2024-01-01 10:40:00,99.8934354083299,100.07872877377801,99.7510664007349,99.95105619477788,2241
2024-01-01 10:41:00,100.00836608535606,99.98430853916253,99.90997672174075,99.96395448585362,2450
2024-01-01 10:42:00,100.05981093144024,100.21249658107493,100.01754084387477,100.07789455430796,2569
2024-01-01 10:43:00,100.06209794766458,100.11477514568453,99.92141418442496,99.9544119722726,4811
2024-01-01 10:44:00,100.03701655416442,100.03170872030621,99.90310918120441,99.99464613639034,3214
2024-01-01 10:45:00,99.91622913498088,100.00919017826267,99.75299637532916,99.92616512729631,3933
2024-01-01 10:46:00,99.91785075626474,99.94308241036879,99.69878422195315,99.83908541237813,2310
2024-01-01 10:47:00,99.8236562064752,99.87156184951859,99.61193413428637,99.78120044590169,3924
2024-01-01 10:48:00,99.6886004328422,99.91001117886664,99.70434886155422,99.75004519268894,2321
2024-01-01 10:49:00,99.80008143239054,99.94776620653579,99.60957051343023,99.75566172691192,3381
2024-01-01 10:50:00,99.61332237073617,99.79893737563522,99.45544141715438,99.63914674283359,3518
2024-01-01 10:51:00,99.72506307726667,99.74482795510417,99.67294616868612,99.729229391529,1675
2024-01-01 10:52:00,99.78234835796292,99.93678274993387,99.63766492678381,99.77579563550205,2609
2024-01-01 10:53:00,99.57821646626103,99.63549053332144,99.54203978453636,99.62217126687433,3412
2024-01-01 10:54:00,99.70432937230936,99.81819056330221,99.71295115722211,99.77099648625389,2787
2024-01-01 10:55:00,99.97897460440295,99.99120478322408,99.76666071010607,99.96058540385694,3974
2024-01-01 10:56:00,100.00905168603941,100.11796718234213,100.00873671497925,100.0784633609729,4340
2024-01-01 10:57:00,99.93171074605321,100.16613390280315,100.03890094113954,100.06047087739168,3110
2024-01-01 10:58:00,99.91159033502205,100.0877335867628,99.87567777331655,99.95339561524062,4726
2024-01-01 10:59:00,100.07539540900815,100.15290504440094,99.96930512974174,100.05884078793373,1482
2024-01-01 11:00:00,100.00502903655791,100.21046222104226,99.86808092813656,100.01852309323641,3559
2024-01-01 11:01:00,100.20412414730566,100.18882606428069,99.95078474688526,100.14076760027466,3018
2024-01-01 11:02:00,100.17078277285393,100.31422314413331,99.9981837013235,100.16159509808234,3764
2024-01-01 11:03:00,100.22094351913336,100.43329543743214,100.07307073947969,100.25925900173071,4433
2024-01-01 11:04:00,100.27291646392419,100.40730886359911,100.19988361545317,100.29489564144816,1624
2024-01-01 11:05:00,100.2937258903039,100.45679745865966,100.22168964462007,100.36555295826736,3401
2024-01-01 11:06:00,100.42089282157472,100.48583984969528,100.30479304333696,100.36660296033943,2355
2024-01-01 11:07:00,100.47613500542587,100.63095196376209,100.53127258802621,100.54519000973002,4320
2024-01-01 11:08:00,100.51186083739441,100.66891999546505,100.48478651393518,100.55788121900038,4771
2024-01-01 11:09:00,100.59006584432342,100.68146694577061,100.45849710967919,100.59808015534485,3011
2024-01-01 11:10:00,100.78651288827501,100.8664891671093,100.73147080300086,100.78639522505047,1566
2024-01-01 11:11:00,100.57648680076073,100.79068861256414,100.47933813980792,100.65161931893623,2750
2024-01-01 11:12:00,100.47929402932668,100.54314106170125,100.36641624909107,100.52457081908766,3916
2024-01-01 11:13:00,100.63476252001543,100.65481890444921,100.58270198006653,100.62151048990346,3229
2024-01-01 11:14:00,100.5606843173419,100.67443784373503,100.43803079689388,100.50419814939204,4050
2024-01-01 11:15:00,100.71601044606149,100.85277573732002,100.53349974444716,100.69856026795698,4895
2024-01-01 11:16:00,100.65590788180145,100.71348911533988,100.60841081197874,100.657198369881,3498
2024-01-01 11:17:00,100.50433245204341,100.65790667527007,100.5161324596035,100.58245288873692,4034
2024-01-01 11:18:00,100.74387997405736,100.95995239271066,100.70613370490035,100.77474709138497,2090
2024-01-01 11:19:00,100.94887328259395,101.08641401556318,100.76259016496324,100.9227985705284,3112
2024-01-01 11:20:00,101.1636018000638,101.23242372656698,101.10214841345005,101.10955446657105,3383
2024-01-01 11:21:00,101.24462772780636,101.24445696815918,101.18540153577432,101.2001589323986,3618
2024-01-01 11:22:00,101.1209399461154,101.12288675815617,100.99834605426054,101.11403636389312,2940
2024-01-01 11:23:00,101.36527288253549,101.39129442857141,101.22562046100381,101.30504285920303,3545
2024-01-01 11:24:00,101.42231555776608,101.41276794995937,101.15166545818575,101.27824252210789,1811
2024-01-01 11:25:00,101.3287950659184,101.5241842597911,101.30519590645166,101.35848816168753,4801
2024-01-01 11:26:00,101.41505756869766,101.62375115961336,101.2712968229686,101.45321335846491,4983
2024-01-01 11:27:00,101.5136364954448,101.44426752941449,101.28552397172092,101.43771234915582,2688
2024-01-01 11:28:00,101.5108935124597,101.54795169295781,101.48557104208035,101.49912028619043,4772
2024-01-01 11:29:00,101.59695633776845,101.65915987104256,101.43455985789008,101.59134095334709,3563
2024-01-01 11:30:00,101.6486022228456,101.66672994865452,101.43506703200019,101.62898350646265,4976
